TPR,FPR,AUC,precision,epochs
"[1.         0.93848168 1.         1.         1.         1.
 1.         1.         1.        ]","[0.00027508 0.         0.0003126  0.00030634 0.0003126  0.00024381
 0.00033761 0.00028133 0.00028133]","[0.99983763 0.97002697 0.9998232  0.99982689 0.99982331 0.99986223
 0.99980929 0.99984103 0.99984103]","[0.99820774 1.         0.99731817 0.99735464 0.99730545 0.99789178
 0.99707792 0.99756836 0.99756836]",300
"[1.         0.93848168 1.         1.         1.         1.
 1.         1.         1.        ]","[0.00027508 0.         0.0003126  0.00030634 0.0003126  0.00024381
 0.00033761 0.00028133 0.00028133]","[0.99983763 0.969615   0.9998232  0.99982689 0.99982331 0.99986223
 0.99980929 0.99984103 0.99984103]","[0.99820774 1.         0.99731817 0.99735464 0.99730545 0.99789178
 0.99707792 0.99756836 0.99756836]",300
"[1.         0.93848168 1.         1.         1.         1.
 1.         1.         1.        ]","[0.00027508 0.         0.0003126  0.00030634 0.0003126  0.00024381
 0.00033761 0.00028133 0.00028133]","[0.99983763 0.96963765 0.9998232  0.99982689 0.99982331 0.99986223
 0.99980929 0.99984103 0.99984103]","[0.99820774 1.         0.99731817 0.99735464 0.99730545 0.99789178
 0.99707792 0.99756836 0.99756836]",300
"[1.         0.93692022 1.         1.         1.         1.
 1.         1.         1.        ]","[0.00031186 0.         0.00035895 0.00028832 0.00021181 0.00037073
 0.00030009 0.00027066 0.00028832]","[0.99981571 0.96988988 0.99979754 0.99983728 0.99988036 0.99979038
 0.99983015 0.99984687 0.99983711]","[0.99798141 1.         0.99685842 0.99748563 0.9981613  0.99681706
 0.99744002 0.99768239 0.99750471]",300
"[1.         0.93692022 1.         1.         1.         1.
 1.         1.         1.        ]","[0.00031186 0.         0.00035895 0.00028832 0.00021181 0.00037073
 0.00030009 0.00027066 0.00028832]","[0.99981571 0.96993139 0.99979754 0.99983728 0.99988036 0.99979038
 0.99983015 0.99984687 0.99983711]","[0.99798141 1.         0.99685842 0.99748563 0.9981613  0.99681706
 0.99744002 0.99768239 0.99750471]",300
"[1.         0.93692022 1.         1.         1.         1.
 1.         1.         1.        ]","[0.00031186 0.         0.00035895 0.00028832 0.00021181 0.00037073
 0.00030009 0.00027066 0.00028832]","[0.99981571 0.96921938 0.99979754 0.99983728 0.99988036 0.99979038
 0.99983015 0.99984687 0.99983711]","[0.99798141 1.         0.99685842 0.99748563 0.9981613  0.99681706
 0.99744002 0.99768239 0.99750471]",300
"[0.99785652 0.55825778 0.94703649 0.97995848 0.9752915  0.82123224
 0.14584071 0.01631784]","[0.0002629  0.00365372 0.02533927 0.02889814 0.03521875 0.0035294
 0.00452776 0.00054798]","[0.9995379  0.95251572 0.98995552 0.99013688 0.9923253  0.98885152
 0.94255907 0.94194322]","[0.99924538 0.96321742 0.78030935 0.88742412 0.79797605 0.86475718
 0.15158205 0.14110429]",300
"[0.99785652 0.5584048  0.95237292 0.97751925 0.96866101 0.80666809
 0.08106195 0.31997162]","[0.0002629  0.00365363 0.02869203 0.02512793 0.02996873 0.0010239
 0.00259163 0.0104477 ]","[0.99957759 0.9524653  0.98997137 0.99056764 0.99226903 0.99078843
 0.94658837 0.94934388]","[0.99924538 0.96322675 0.75980211 0.90014895 0.82114505 0.95576045
 0.14764668 0.1455543 ]",300
"[0.99785652 0.55706935 0.94716305 0.97770954 0.96295142 0.80545442
 0.42371681 0.25150763]","[0.0002629  0.0024754  0.02544174 0.02576831 0.02466249 0.00079273
 0.01402514 0.00795674]","[0.99865764 0.95146311 0.98953499 0.99056293 0.9928306  0.98573453
 0.91752264 0.925876  ]","[0.99924538 0.97470417 0.77965484 0.89793535 0.84666841 0.96534611
 0.14449541 0.14926316]",300
